"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
288,24/01/2016,10:50:00,"NA",27.43
289,24/01/2016,10:55:00,"NA",27.43
290,24/01/2016,11:00:00,"NA",27.43
291,24/01/2016,11:05:00,"NA",27.37
292,24/01/2016,11:10:00,"NA",27.37
293,24/01/2016,11:15:00,"NA",27.37
294,24/01/2016,11:20:00,"NA",27.37
295,24/01/2016,11:25:00,"NA",27.37
296,24/01/2016,11:30:00,"NA",27.31
297,24/01/2016,11:35:00,"NA",27.31
298,24/01/2016,11:40:00,"NA",27.31
299,24/01/2016,11:45:00,"NA",27.31
300,24/01/2016,11:50:00,"NA",27.31
301,24/01/2016,11:55:00,"NA",27.25
302,24/01/2016,12:00:00,"NA",27.25
303,24/01/2016,12:05:00,"NA",27.25
304,24/01/2016,12:10:00,"NA",27.25
305,24/01/2016,12:15:00,"NA",27.25
306,24/01/2016,12:20:00,"NA",27.25
307,24/01/2016,12:25:00,"NA",27.25
308,24/01/2016,12:30:00,"NA",27.25
309,24/01/2016,12:35:00,"NA",27.19
310,24/01/2016,12:40:00,"NA",27.19
311,24/01/2016,12:45:00,"NA",27.19
312,24/01/2016,12:50:00,"NA",27.13
313,24/01/2016,12:55:00,"NA",27.13
314,24/01/2016,13:00:00,"NA",27.13
315,24/01/2016,13:05:00,"NA",27.13
316,24/01/2016,13:10:00,"NA",27.13
317,24/01/2016,13:15:00,"NA",27.07
318,24/01/2016,13:20:00,"NA",27.13
319,24/01/2016,13:25:00,"NA",27.07
320,24/01/2016,13:30:00,"NA",27.07
321,24/01/2016,13:35:00,"NA",27.07
322,24/01/2016,13:40:00,"NA",27.07
323,24/01/2016,13:45:00,"NA",27.01
324,24/01/2016,13:50:00,"NA",27.01
325,24/01/2016,13:55:00,"NA",26.95
326,24/01/2016,14:00:00,"NA",26.95
327,24/01/2016,14:05:00,"NA",26.95
328,24/01/2016,14:10:00,"NA",26.89
329,24/01/2016,14:15:00,"NA",26.89
330,24/01/2016,14:20:00,"NA",26.83
331,24/01/2016,14:25:00,"NA",26.83
332,24/01/2016,14:30:00,"NA",26.83
333,24/01/2016,14:35:00,"NA",26.83
334,24/01/2016,14:40:00,"NA",26.83
335,24/01/2016,14:45:00,"NA",26.89
336,24/01/2016,14:50:00,"NA",26.95
337,24/01/2016,14:55:00,"NA",26.89
338,24/01/2016,15:00:00,"NA",26.83
339,24/01/2016,15:05:00,"NA",26.83
340,24/01/2016,15:10:00,"NA",26.83
341,24/01/2016,15:15:00,"NA",26.83
342,24/01/2016,15:20:00,"NA",26.77
343,24/01/2016,15:25:00,"NA",26.71
344,24/01/2016,15:30:00,"NA",26.71
345,24/01/2016,15:35:00,"NA",26.65
346,24/01/2016,15:40:00,"NA",26.65
347,24/01/2016,15:45:00,"NA",26.71
348,24/01/2016,15:50:00,"NA",26.77
349,24/01/2016,15:55:00,"NA",26.71
350,24/01/2016,16:00:00,"NA",26.71
351,24/01/2016,16:05:00,"NA",26.77
352,24/01/2016,16:10:00,"NA",26.83
353,24/01/2016,16:15:00,"NA",26.77
354,24/01/2016,16:20:00,"NA",26.77
355,24/01/2016,16:25:00,"NA",26.71
356,24/01/2016,16:30:00,"NA",26.71
357,24/01/2016,16:35:00,"NA",26.71
358,24/01/2016,16:40:00,"NA",26.65
359,24/01/2016,16:45:00,"NA",26.65
360,24/01/2016,16:50:00,"NA",26.59
361,24/01/2016,16:55:00,"NA",26.65
362,24/01/2016,17:00:00,"NA",26.71
363,24/01/2016,17:05:00,"NA",26.65
364,24/01/2016,17:10:00,"NA",26.65
365,24/01/2016,17:15:00,"NA",26.65
366,24/01/2016,17:20:00,"NA",26.71
367,24/01/2016,17:25:00,"NA",26.65
368,24/01/2016,17:30:00,"NA",26.65
369,24/01/2016,17:35:00,"NA",26.71
370,24/01/2016,17:40:00,"NA",26.71
371,24/01/2016,17:45:00,"NA",26.71
372,24/01/2016,17:50:00,"NA",26.71
373,24/01/2016,17:55:00,"NA",26.71
374,24/01/2016,18:00:00,"NA",26.71
375,24/01/2016,18:05:00,"NA",26.77
376,24/01/2016,18:10:00,"NA",26.77
377,24/01/2016,18:15:00,"NA",26.71
378,24/01/2016,18:20:00,"NA",26.77
379,24/01/2016,18:25:00,"NA",26.77
