Site Name ,WLR109,,,,
Site Number ,109,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44354,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
532,22/01/2017 , 07:35:00,2281,18.34
533,22/01/2017 , 07:40:00,2281,18.34
534,22/01/2017 , 07:45:00,2281,18.34
535,22/01/2017 , 07:50:00,2280,18.25
536,22/01/2017 , 07:55:00,2280,18.25
537,22/01/2017 , 08:00:00,2280,18.25
538,22/01/2017 , 08:05:00,2279,18.17
539,22/01/2017 , 08:10:00,2279,18.17
540,22/01/2017 , 08:15:00,2278,18.08
541,22/01/2017 , 08:20:00,2279,18.17
542,22/01/2017 , 08:25:00,2279,18.17
543,22/01/2017 , 08:30:00,2278,18.08
544,22/01/2017 , 08:35:00,2279,18.17
545,22/01/2017 , 08:40:00,2278,18.08
546,22/01/2017 , 08:45:00,2279,18.17
547,22/01/2017 , 08:50:00,2278,18.08
548,22/01/2017 , 08:55:00,2278,18.08
549,22/01/2017 , 09:00:00,2265,16.97
550,22/01/2017 , 09:05:00,2266,17.05
551,22/01/2017 , 09:10:00,2266,17.05
552,22/01/2017 , 09:15:00,2265,16.97
553,22/01/2017 , 09:20:00,2266,17.05
554,22/01/2017 , 09:25:00,2266,17.05
