Site Name ,WLR103A,,,,
Site Number ,103,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1745,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
451,21/01/2017 , 04:25:00,2105,10.24
452,21/01/2017 , 04:30:00,2105,10.24
453,21/01/2017 , 04:35:00,2105,10.24
454,21/01/2017 , 04:40:00,2105,10.24
455,21/01/2017 , 04:45:00,2105,10.24
456,21/01/2017 , 04:50:00,2105,10.24
457,21/01/2017 , 04:55:00,2105,10.24
458,21/01/2017 , 05:00:00,2104,10.19
459,21/01/2017 , 05:05:00,2104,10.19
460,21/01/2017 , 05:10:00,2104,10.19
461,21/01/2017 , 05:15:00,2104,10.19
462,21/01/2017 , 05:20:00,2104,10.19
463,21/01/2017 , 05:25:00,2104,10.19
464,21/01/2017 , 05:30:00,2104,10.19
465,21/01/2017 , 05:35:00,2105,10.24
466,21/01/2017 , 05:40:00,2105,10.24
467,21/01/2017 , 05:45:00,2105,10.24
468,21/01/2017 , 05:50:00,2105,10.24
469,21/01/2017 , 05:55:00,2105,10.24
470,21/01/2017 , 06:00:00,2105,10.24
471,21/01/2017 , 06:05:00,2105,10.24
472,21/01/2017 , 06:10:00,2106,10.29
473,21/01/2017 , 06:15:00,2106,10.29
474,21/01/2017 , 06:20:00,2106,10.29
475,21/01/2017 , 06:25:00,2106,10.29
476,21/01/2017 , 06:30:00,2106,10.29
477,21/01/2017 , 06:35:00,2106,10.29
478,21/01/2017 , 06:40:00,2106,10.29
479,21/01/2017 , 06:45:00,2107,10.34
480,21/01/2017 , 06:50:00,2107,10.34
481,21/01/2017 , 06:55:00,2108,10.38
482,21/01/2017 , 07:00:00,2109,10.43
483,21/01/2017 , 07:05:00,2109,10.43
484,21/01/2017 , 07:10:00,2110,10.48
485,21/01/2017 , 07:15:00,2110,10.48
486,21/01/2017 , 07:20:00,2110,10.48
487,21/01/2017 , 07:25:00,2110,10.48
488,21/01/2017 , 07:30:00,2110,10.48
489,21/01/2017 , 07:35:00,2111,10.53
490,21/01/2017 , 07:40:00,2112,10.57
491,21/01/2017 , 07:45:00,2112,10.57
492,21/01/2017 , 07:50:00,2112,10.57
493,21/01/2017 , 07:55:00,2112,10.57
494,21/01/2017 , 08:00:00,2113,10.62
495,21/01/2017 , 08:05:00,2112,10.57
496,21/01/2017 , 08:10:00,2114,10.67
497,21/01/2017 , 08:15:00,2114,10.67
498,21/01/2017 , 08:20:00,2113,10.62
499,21/01/2017 , 08:25:00,2113,10.62
500,21/01/2017 , 08:30:00,2113,10.62
501,21/01/2017 , 08:35:00,2114,10.67
502,21/01/2017 , 08:40:00,2114,10.67
503,21/01/2017 , 08:45:00,2113,10.62
504,21/01/2017 , 08:50:00,2113,10.62
505,21/01/2017 , 08:55:00,2113,10.62
506,21/01/2017 , 09:00:00,2113,10.62
507,21/01/2017 , 09:05:00,2113,10.62
508,21/01/2017 , 09:10:00,2113,10.62
509,21/01/2017 , 09:15:00,2113,10.62
510,21/01/2017 , 09:20:00,2113,10.62
511,21/01/2017 , 09:25:00,2113,10.62
512,21/01/2017 , 09:30:00,2113,10.62
513,21/01/2017 , 09:35:00,2114,10.67
514,21/01/2017 , 09:40:00,2114,10.67
515,21/01/2017 , 09:45:00,2115,10.72
516,21/01/2017 , 09:50:00,2115,10.72
517,21/01/2017 , 09:55:00,2115,10.72
518,21/01/2017 , 10:00:00,2114,10.67
519,21/01/2017 , 10:05:00,2114,10.67
520,21/01/2017 , 10:10:00,2114,10.67
521,21/01/2017 , 10:15:00,2114,10.67
522,21/01/2017 , 10:20:00,2114,10.67
523,21/01/2017 , 10:25:00,2114,10.67
524,21/01/2017 , 10:30:00,2113,10.62
525,21/01/2017 , 10:35:00,2113,10.62
526,21/01/2017 , 10:40:00,2113,10.62
527,21/01/2017 , 10:45:00,2113,10.62
528,21/01/2017 , 10:50:00,2113,10.62
529,21/01/2017 , 10:55:00,2112,10.57
530,21/01/2017 , 11:00:00,2112,10.57
531,21/01/2017 , 11:05:00,2112,10.57
532,21/01/2017 , 11:10:00,2112,10.57
533,21/01/2017 , 11:15:00,2112,10.57
534,21/01/2017 , 11:20:00,2112,10.57
535,21/01/2017 , 11:25:00,2112,10.57
536,21/01/2017 , 11:30:00,2112,10.57
537,21/01/2017 , 11:35:00,2113,10.62
538,21/01/2017 , 11:40:00,2112,10.57
539,21/01/2017 , 11:45:00,2112,10.57
540,21/01/2017 , 11:50:00,2112,10.57
541,21/01/2017 , 11:55:00,2111,10.53
542,21/01/2017 , 12:00:00,2110,10.48
543,21/01/2017 , 12:05:00,2109,10.43
544,21/01/2017 , 12:10:00,2108,10.38
545,21/01/2017 , 12:15:00,2108,10.38
546,21/01/2017 , 12:20:00,2108,10.38
547,21/01/2017 , 12:25:00,2108,10.38
548,21/01/2017 , 12:30:00,2108,10.38
549,21/01/2017 , 12:35:00,2109,10.43
550,21/01/2017 , 12:40:00,2110,10.48
551,21/01/2017 , 12:45:00,2111,10.53
552,21/01/2017 , 12:50:00,2111,10.53
553,21/01/2017 , 12:55:00,2112,10.57
554,21/01/2017 , 13:00:00,2114,10.67
